"BRK.B","CELG","DOW","EMR","HAL","MA","MRK","PEP","PM","SPG"
"272",1270600,986100,417000,451400,307500,820000,497300,983700,891200,1815600
"273",1257400,1025800,433500,422700,308000,883400,506200,942600,865700,1824200
"274",1293200,1066600,458400,444400,319300,916600,520200,981000,898800,1868800
"275",1273700,1029600,427600,432200,304700,890700,515800,951300,877100,1865200
"276",1296500,1147300,478300,456500,332900,911700,516900,987600,874300,1931700
"277",1292300,1081100,451000,446400,320400,919300,519500,974200,890200,1861300
"278",1298300,1174400,485600,460800,337800,941100,524600,988100,873300,1949900
"279",1298300,1139100,474500,449300,327900,920000,521200,981400,872500,1920300
"280",1265000,1013600,433300,431200,300600,894500,508000,967500,887700,1850000
"281",1285100,1088400,460200,440400,322900,902700,511600,975900,880000,1872900
"282",1249100,1065700,413400,422900,286200,850900,504700,936500,850300,1822400
"283",1252800,1072000,426300,432500,290600,867800,508200,964900,878200,1882500
"284",1297600,1175100,485500,460800,337500,940700,524600,987500,872900,1949000
"285",1274700,1068300,433000,435700,300700,877500,512900,949000,862900,1852500
"286",1272800,1029400,427500,432200,304100,890800,516000,951500,876800,1863100
"287",1257600,1025100,433000,422700,308000,883500,506100,942300,864900,1825400
"288",1265900,1013400,433500,431400,301000,895500,508000,969300,888400,1850000
"289",1254200,1068200,426800,432200,290700,867300,507900,965900,879000,1884400
"290",1298400,1173800,485400,460600,337400,941400,525400,988100,873600,1948300
"291",1293700,1068200,458800,445600,319300,917200,520400,980500,898100,1869500
"292",1271400,986400,416200,450900,307400,818500,497700,983800,891500,1821400
"293",1255500,1017600,411900,421600,286600,845800,504000,951600,863700,1833900
"294",1256700,1016500,412100,421500,287000,846400,504100,951700,863800,1834700
"295",1261500,1083100,426100,428000,295400,877200,511900,956900,867300,1860000
"296",1285200,1088600,459600,440200,322600,902800,511100,975600,879500,1874100
"297",1291000,1176900,502100,468900,340200,947600,517200,985000,864900,1914200
"298",1299100,1140400,474800,449300,328200,920400,521600,981700,873100,1920100
"299",1275200,1034300,427800,432300,305700,891200,516200,950800,875600,1861800
"300",1294000,1068300,458500,444700,319100,916900,520100,980900,897300,1869500
"301",1270900,984600,415900,450800,308100,819000,497200,984500,890200,1812600
"302",1312400,1186900,495200,471600,344300,954300,528500,994100,874900,1939200
"303",1298200,1139800,474800,449200,327900,920500,521600,980700,872800,1919900
"304",1273300,1067400,434200,437400,300400,878000,513300,948600,861700,1852800
"305",1265600,1013700,435200,432000,303000,895800,508100,967900,885900,1848300
"306",1285500,1086800,459400,440200,322400,903200,510200,975800,879400,1872900
"307",1257000,1028400,433500,423000,308300,886900,506200,944400,864500,1826000
"308",1254700,1063000,428200,432000,290000,866900,507600,966100,880300,1886200
"309",1254100,1014700,411900,421800,286900,846800,503600,950400,862000,1833900
"310",1269600,982800,415400,450700,307900,819900,497000,984200,890800,1811800
"311",1258300,1030200,433800,422900,308700,887700,506800,944300,864800,1827200
"312",1275600,1035000,427800,432700,305000,890600,515600,951200,874900,1863800
"313",1265300,1015700,434800,432300,302500,895800,508500,968500,885700,1847800
"314",1274400,1068900,433400,438300,300300,878200,513100,949100,861600,1851300
"315",1286600,1088200,459900,440700,322700,903500,510200,975900,880400,1873600
"316",1248000,1071200,412600,421800,285600,850100,504900,936000,849100,1818300
"317",1270000,983900,415400,450600,307800,820000,497100,984600,891000,1811800
"318",1297000,1143900,478300,454700,332000,909600,515700,985900,873700,1928000
"319",1291900,1085300,450600,446500,319900,918700,519000,974300,890000,1863600
